,job,money,skill,ink,area,jobDes,inkDes
0,运维工程师（数据库方向）,9k-15k,SQL SQL Server ORACLE MySQL SQLServer DBA DB2,嘉扬,[上海·浦东新…],“SQL、eHR”,移动互联网 / 不需要融资 / 150-500人
1,dba数据库工程师,6k-10k,SQL Server MySQL ORACLE PostgreSQL(PSQL) 不分行业,领途网络,[上海·城隍庙],“技术总监亲自带队，五险一金，补贴等，组织旅游”,"人工智能服务,物联网,网络通信 / 不需要融资 / 15-50人"
2,数据库工程师dba,8k-9k,数据服务｜咨询 软件服务｜咨询 JAVA Python Shell Linux,巨杉数据库,[广州·黄阁],“公司正规发展空间大注重培养五险一金”,数据服务｜咨询 / D轮及以上 / 150-500人
3,数据库工程师dba,8k-9k,数据服务｜咨询 软件服务｜咨询 JAVA Shell Hadoop Spark Linux,巨杉数据库,[北京·望京],“公司正规发展空间大注重培养五险一金”,数据服务｜咨询 / D轮及以上 / 150-500人
4,图数据库开发工程师,10k-15k,软件服务｜咨询 JAVA Titan janusGraph,赛思信安,[北京·朝阳区],“五险一金 1V1培养 员工体检 不加班 年底奖金”,数据服务｜咨询 / 不需要融资 / 150-500人
5,数据库测试工程师,8k-15k,软件服务｜咨询 人工智能服务 JAVA Python SQL Linux 自动化测试,深算院,[深圳·龙华新…],“大咖带队，行业培训，团队下午茶，优质平台”,数据服务、人工智能 / 未融资 / 150-500人
6,DBA,12k-24k,PostgreSQL(PSQL) Linux MySQL,人大金仓,[福州·鼓楼区],“六险一金，年底奖金，弹性工作，餐补交补”,数据服务｜咨询 / 不需要融资 / 150-500人
7,数据库或ETL开发工程师,10k-20k,数据服务｜咨询 软件服务｜咨询 MySQL ORACLE DB2 PostgreSQL(PSQL),中科软,[上海·金桥],“开发、经理、主管岗位晋升非常清晰”,IT技术服务｜咨询 / 上市公司 / 2000人以上
8,dba（校招）,8k-12k,在线教育 MySQL Linux Shell Python Zabbix,翼课网,[广州·番禺区],“试用期全薪 弹性上班”,"人工智能服务,软件服务｜咨询 / 不需要融资 / 500-2000人"
9,技术中心数据库工程师,9k-12k,MySQL ORACLE DB2 智慧交通,联合电服,[广州·天河区],“国有企业、六险二金、带薪年假”,物联网 / 不需要融资 / 500-2000人
10,dba数据库工程师,15k-30k,软件服务｜咨询 ORACLE Linux Unix 英语 Aws,CLPS,[大连·东财],“英语666薪资open”,软件服务｜咨询 / 上市公司 / 500-2000人
11,dba数据库工程师,30k-60k,电商平台 新零售 MySQL mongodb redis ADB,能链集团,[北京·朝阳区],“独角兽企业 新能源互联网 数据量大 高并发”,"数据服务｜咨询,软件服务｜咨询 / D轮及以上 / 500-2000人"
12,dba数据库工程师,15k-30k,数据服务｜咨询 人工智能服务 Python SQL PL/SQL Shell Kubernetes(K8s),墨奇科技,[北京·西苑],“明星团队，前沿技术，上升业务”,人工智能服务 / B轮 / 150-500人
13,dba数据库工程师,10k-14k,IT技术服务｜咨询 金融业 MySQL ORACLE,京北方,[上海·张江],“季度绩效；餐补”,IT技术服务｜咨询 / 上市公司 / 2000人以上
14,dba数据库工程师,20k-30k,软件服务｜咨询 MySQL,猎豹移动,[珠海·香洲区],“弹性打卡，技术氛围”,"人工智能服务,工具类产品,智能硬件 / 上市公司 / 500-2000人"
15,实施工程师（数据库方向）,8k-13k,SQL Server ORACLE SQL MySQL SQLServer DBA DB2,嘉扬,[上海·浦东新…],“SQL、eHR”,移动互联网 / 不需要融资 / 150-500人
16,数据库工程师,8k-9k,数据服务｜咨询 软件服务｜咨询 JAVA Python Spring MySQL Linux,巨杉数据库,[长沙·伍家岭],“公司正规发展空间大五险一金注重培养氛围好”,数据服务｜咨询 / D轮及以上 / 150-500人
17,数据库开发工程师（java）,10k-20k,数据服务｜咨询 IT技术服务｜咨询,巨杉数据库,[广州·黄阁],“国际化办公环境 年底双薪”,数据服务｜咨询 / D轮及以上 / 150-500人
18,dba数据库工程师,25k-40k,科技金融 生活服务 MySQL Python Shell Linux,,[上海·张江],“上市公司 无加班文化 双休 班车接送”,专业服务｜咨询 / 未融资 / 50-150人
19,dba数据库工程师,15k-25k,数据服务｜咨询 软件服务｜咨询 Python GO Linux,睿帆科技,[北京·朝阳区],“发展空间大”,"人工智能服务,数据服务｜咨询 / A轮 / 150-500人"
