,tag,job,low_wages,hight_wages,year_wages,city,ink,staff,skill,jobDes,inkDes
0,0,运维工程师（数据库方向）,9.0,15.0,144.0,上海,嘉扬,500,"SQL,SQL,Server,ORACLE,MySQL,SQLServer,DBA,DB",,"移动互联网,不需要融资"
1,0,dba数据库工程师,6.0,10.0,96.0,上海,领途网络,50,"SQL,Server,MySQL,ORACLE,PostgreSQL,PSQL","技术总监亲自带队,五险一金,补贴等,组织旅游","人工智能服务,物联网,网络通信,不需要融资"
2,0,数据库工程师dba,8.0,9.0,102.0,广州,巨杉数据库,500,"JAVA,Python,Shell,Linux",公司正规发展空间大注重培养五险一金,"数据服务,咨询,D轮及以上"
3,0,数据库工程师dba,8.0,9.0,102.0,北京,巨杉数据库,500,"JAVA,Shell,Hadoop,Spark,Linux",公司正规发展空间大注重培养五险一金,"数据服务,咨询,D轮及以上"
4,0,图数据库开发工程师,10.0,15.0,150.0,北京,赛思信安,500,"JAVA,Titan,janusGraph","五险一金,培养,员工体检,不加班,年底奖金","数据服务,咨询,不需要融资"
5,0,数据库测试工程师,8.0,15.0,138.0,深圳,深算院,500,"JAVA,Python,SQL,Linux","大咖带队,行业培训,团队下午茶,优质平台","数据服务,人工智能,未融资"
6,0,DBA,12.0,24.0,216.0,福州,人大金仓,500,"PostgreSQL,PSQL,Linux,MySQL","六险一金,年底奖金,弹性工作,餐补交补","数据服务,咨询,不需要融资"
7,0,数据库或ETL开发工程师,10.0,20.0,180.0,上海,中科软,2000,"MySQL,ORACLE,DB,PostgreSQL,PSQL","开发,经理,主管岗位晋升非常清晰","IT技术服务,咨询,上市公司"
8,0,dba（校招）,8.0,12.0,120.0,广州,翼课网,2000,"MySQL,Linux,Shell,Python,Zabbix","试用期全薪,弹性上班","人工智能服务,软件服务,咨询,不需要融资"
9,0,技术中心数据库工程师,9.0,12.0,126.0,广州,联合电服,2000,"MySQL,ORACLE,DB","国有企业,六险二金,带薪年假","物联网,不需要融资"
10,0,dba数据库工程师,15.0,30.0,270.0,大连,CLPS,2000,"ORACLE,Linux,Unix,Aws","英语,薪资","软件服务,咨询,上市公司"
11,0,dba数据库工程师,30.0,60.0,540.0,北京,能链集团,2000,"MySQL,mongodb,redis,ADB","独角兽企业,新能源互联网,数据量大,高并发","数据服务,咨询,软件服务,咨询,D轮及以上"
12,0,dba数据库工程师,15.0,30.0,270.0,北京,墨奇科技,500,"Python,SQL,PL,SQL,Shell,Kubernetes,K,s","明星团队,前沿技术,上升业务","人工智能服务,B轮"
13,0,dba数据库工程师,10.0,14.0,144.0,上海,京北方,2000,"IT,MySQL,ORACLE","季度绩效,餐补","IT技术服务,咨询,上市公司"
