,job,money,skill,ink,area,jobDes,inkDes
0,人工智能工程师,11k-18k,人工智能服务 物联网 C++ Python 深度学习 自然语言处理 搜索｜推荐,,[重庆·渝北区],“周末双休 五险一金 节日福利 大厂经验”,专业服务｜咨询 / 上市公司 / 2000人以上
1,人工智能图像算法工程师培养,10k-15k,IT技术服务｜咨询 人工智能服务 JAVA C++ Python 图像处理 视觉图像算法,真术相成科技,[成都·武侯区],“发展前景好，工资高”,"IT技术服务｜咨询,软件服务｜咨询,人工智能服务 / 未融资 / 15-50人"
2,人工智能算法工程师+周末双休+五险一金+智能医疗器械,12k-15k,智能硬件 物联网 决策树类算法 语音｜音频处理 数据挖掘 聚类算法,质子科技,[杭州·西溪],“行业前沿”,"移动互联网,硬件 / A轮 / 50-150人"
3,人工智能算法工程师(J10025),10k-15k,人工智能服务,牡丹集团,[北京·牡丹园],“重点业务团队”,"数据服务｜咨询,文化传媒 / 不需要融资 / 150-500人"
4,人工智能实习生,5k-10k,在线医疗 医疗影像 深度学习 图像算法 目标检测 图片识别,杭州智团,[杭州·长河],"“前沿技术,大牛带队,挑战自我,医疗AI落地”",在线医疗 / 不需要融资 / 50-150人
5,人工智能病理数据标注工程师,6k-12k,人工智能服务 医疗健康,杭州智团,[杭州·长河],“团建、节日福利、餐补、五险一金、年终奖”,在线医疗 / 不需要融资 / 50-150人
6,销售代表（人工智能）,6k-12k,人工智能服务 客户代表 大客户销售 销售顾问,天互数据,[西安·高新技…],“五险、年终分红、员工旅游、组织团建、节日福利”,"数据服务｜咨询,IT技术服务｜咨询 / 未融资 / 50-150人"
7,青少年人工智能编程教师,8k-15k,教育｜培训 人工智能服务 在线小班课 初中生 小学生 Python培训,点创数字教育,[深圳·松岗],“工作轻松简单”,人工智能、教育 / 天使轮 / 15-50人
8,AI人工智能实习生,6k-8k,IT技术服务｜咨询 人工智能服务 Python 数据处理,壹沓科技,[上海·静安区],“从AI小白成为实战工程师”,"数据服务｜咨询,IT技术服务｜咨询,人工智能服务 / A轮 / 150-500人"
9,人工智能算法工程师,10k-15k,图像｜视频处理 军工国企,七二二所,[武汉·江夏区],“研究所 福利好 稳定”,软件服务｜咨询 / 未融资 / 2000人以上
10,人工智能医疗器械研究员,10k-20k,智慧医疗,工业互联网创新中心,[上海·金桥],“补充医疗保险、补充公积金、智慧医疗、人工智能”,IT技术服务｜咨询 / 未融资 / 150-500人
11,人工智能训练师/双休,7k-8k,软件服务｜咨询 数据服务｜咨询 AI 店小蜜,穿否,[杭州·滨江区],“双休不加班！”,
12,人工智能课程研发,5k-10k,在线教育 IT技术服务｜咨询 Python培训 Java培训 大数据开发讲师,红亚华宇,[西安·高新技…],“课程设计 讲师方向 对个人能力有很好的提升”,"教育,信息安全,工具 / A轮 / 50-150人"
13,人工智能助理研究员（管培生）,12k-20k,数据服务｜咨询 人工智能服务,彩智科技,[北京·海淀区],"“有高手带,发展潜力大,气氛轻松,高管直招”","人工智能服务,数据服务｜咨询,区块链 / 天使轮 / 50-150人"
