,job,money,skill,ink,area,jobDes,inkDes
0,Java开发工程师,15k-25k,金融业 JavaScript ORACLE,中国人寿财险金融科技中心,[上海·浦东新…],“金融央企、六险二金、工会福利、专业通道”,金融业 / 上市公司 / 2000人以上
1,java高级开发工程师,13k-18k,IT技术服务｜咨询 JavaScript Eclipse,届远信息,[上海·宝山区],“五险一金，年终奖，生日福利、节日福利等”,"IT技术服务｜咨询,信息安全 / 不需要融资 / 150-500人"
2,软件开发工程师,10k-20k,网络通信 C语言 C++ C# Linux 计算机底层,中国兵器装备集团自动化研究所,[绵阳·游仙区],“央企、五险一金、年休假、绩效奖金、工会福利”,软件服务｜咨询 / 不需要融资 / 500-2000人
3,java开发工程师,7k-11k,IT技术服务｜咨询 软件服务｜咨询,广东睿盟科技,[广州·车陂],“周末双休、带薪年假、全勤奖、餐补、五险一金等”,软件服务｜咨询 / 不需要融资 / 50-150人
4,java开发工程师,10k-20k,保险 后端,中华财险创新研发中心,[杭州·和睦],“六险一金、完善的福利体制”,"科技金融,软件服务｜咨询 / 不需要融资 / 2000人以上"
5,java开发工程师,6k-9k,软件服务｜咨询 SQL Linux Unix 微服务架构,华源格林,[郑州·淮河路],“公司氛围好”,"数据服务,软件开发 / 不需要融资 / 50-150人"
6,java开发工程师,12k-24k,Hibernate MyBatis Spring,兴业数金,[上海·张江],“补充公积金”,科技金融 / 不需要融资 / 500-2000人
7,java开发工程师,9k-14k,MySQL ORACLE Linux,中科软,[深圳·南油],“免费体检；每年两次调薪；年终奖；加班少”,IT技术服务｜咨询 / 上市公司 / 2000人以上
8,python后端开发工程师,10k-15k,五险一金 定期体检 带薪年假 弹性工作,庖丁科技,[西安·唐延路],“周末双休 带薪年假 五险一金 下午茶”,"金融,数据服务 / A轮 / 50-150人"
9,java开发工程师,12k-15k,科技金融,金证财富,[杭州·萧山区],“六险一金 周末双休 节假日不补班”,金融 / D轮及以上 / 500-2000人
10,java开发工程师,8k-15k,人工智能服务 IT技术服务｜咨询,NSOC大数据智能、可视化,[上海·张江],“氛围好、成长快、五险一金、弹性工作”,"数据服务｜咨询,人工智能服务 / A轮 / 50-150人"
11,java开发工程师,10k-17k,IT技术服务｜咨询,京北方,[杭州·上塘],“发展前景好”,IT技术服务｜咨询 / 上市公司 / 2000人以上
12,Java后端开发工程师,7k-9k,科技金融 Spring MySQL ORACLE,钧誉资产,[广州·珠江新…],“大神指导 五险一金 周末双休 丰厚年终”,金融业 / 未融资 / 50-150人
13,java开发工程师,8k-14k,电商平台 IT技术服务｜咨询 Spring MyBatis Tomcat,亿品,[上海·静安区],“五险一金，做五休二，不加班，团队氛围好”,营销服务｜咨询 / 不需要融资 / 150-500人
14,java开发工程师,7k-13k,旅游｜出行 Spring MyBatis MySQL PostgreSQL(PSQL),西南凯亚,[成都·高新区],“绝佳办公环境，无996，国企体制”,"软件服务｜咨询,数据服务｜咨询,信息安全 / 不需要融资 / 500-2000人"
15,软件开发工程师C/C++/Python/Java/go/嵌入式/安卓/OS,18k-35k,新能源汽车制造 IT技术服务｜咨询 C语言 HTML,,[上海·浦东新…],“免费班车 绩效奖 年终奖”,企业服务 / 未融资 / 2000人以上
16,JAVA开发工程师,9k-18k,科技金融 Spring MySQL,华通互惠,[北京·西直门],“五险一金、发展前景、员工生日会”,IT技术服务｜咨询 / 天使轮 / 50-150人
17,后端开发工程师,10k-15k,游戏 Python Golang 广告,池骋网络,[广州·天河区],“周末双休、五险一金”,"移动互联网,游戏 / 未融资 / 15-50人"
18,后端开发工程师,8k-12k,游戏 PostgreSQL(PSQL) GO Python,池骋网络,[广州·天河区],“周末双休 扁平化管理”,"移动互联网,游戏 / 未融资 / 15-50人"
19,java后端开发工程师-数据工程,30k-60k,扁平管理 弹性工作 就近租房补贴 六险一金,字节跳动,[北京·海淀区],"“下午茶,健身瑜伽,六险一金,五险一金”","内容资讯,短视频 / D轮及以上 / 2000人以上"
20,java后端开发工程师,15k-25k,IT技术服务｜咨询 C# PHP Python,数马电子,[深圳·西丽],“扁平化管理”,智能硬件 / 未融资 / 150-500人
21,后端开发工程师,16k-20k,生活服务 旅游｜出行 JAVA PHP Ruby .NET Node.js,活跃网络,[成都·锦江区],“年假17天，拒绝打卡，没有加班，技术流，大平台”,IT技术服务｜咨询 / 上市公司 / 500-2000人
22,后端开发工程师,13k-25k,JAVA Python Linux SaaS,云境智仿,[北京·海淀区],“早期成员，施展空间大；工业软件，发展前景好”,"软件服务｜咨询,IT技术服务｜咨询 / 天使轮 / 少于15人"
23,java后台开发工程师,13k-20k,网络通信,润通丰华,[北京·北下关],“深耕运营商通信行业20年，产品市场名列前沿”,IT技术服务｜咨询 / 不需要融资 / 50-150人
24,软件开发工程师（java）,12k-18k,物流平台 贸易｜进出口,上海中实,[上海·龙华],“发展前景 平台稳定 保障齐全 人性化”,"汽车丨出行,物流丨运输 / 不需要融资 / 150-500人"
25,后端开发工程师,10k-15k,IT技术服务｜咨询 营销服务｜咨询 C++ PHP JavaScript CSS MySQL,洲济通,[深圳·南山区],"“五险一金,季度奖,年终奖,各种法定节假日”","IT技术服务｜咨询,营销服务｜咨询 / 天使轮 / 15-50人"
