,job,money,skill,ink,area,jobDes,inkDes
0,测试工程师,11k-22k,IT技术服务｜咨询 自动化测试,中软国际科技服务有限公司,[武汉·汉阳区],“年度体检”,IT技术服务｜咨询 / 上市公司 / 2000人以上
1,测试工程师,6k-12k,区块链 工具类产品 功能测试 黑盒测试 性能测试 兼容性测试 自动化测试,聪链信息,[上海·张江],“极具创新和前景的行业”,"物联网,区块链 / 不需要融资 / 50-150人"
2,测试工程师,11k-22k,科技金融 IT技术服务｜咨询 Python Linux 功能测试 自动化测试,汇合,[成都·武侯区],“互联网金融 大平台 项目多样 自动化测试”,科技金融 / 不需要融资 / 2000人以上
3,测试工程师,10k-18k,软件服务｜咨询 数据服务｜咨询 JAVA CSS MySQL ORACLE Linux,泛微,[上海·浦江],“上市公司、腾讯投资、行业Top”,软件服务｜咨询 / 上市公司 / 2000人以上
4,测试工程师,6k-8k,软件服务｜咨询 Python Linux,五色云,[杭州·西溪],“五险一金，朝九晚六，周末双休”,"企业服务,电商 / 不需要融资 / 15-50人"
5,测试工程师,9k-17k,IT技术服务｜咨询 软件服务｜咨询 Jmeter 功能测试 性能测试 黑盒测试,京北方,[上海·浦东新…],“双休”,IT技术服务｜咨询 / 上市公司 / 2000人以上
6,测试工程师,5k-10k,软件服务｜咨询 SQL Jira ORACLE IDEA,中科软,[济南·历下区],“朝九晚六双休五险一金年终项目奖金”,IT技术服务｜咨询 / 上市公司 / 2000人以上
7,测试工程师,10k-15k,金融业 功能测试 app测试 基金,CLPS,[广州·天河区],“外企”,软件服务｜咨询 / 上市公司 / 500-2000人
8,测试工程师,6k-12k,IT技术服务｜咨询 营销服务｜咨询 PHP,上海万粒,[上海·静安区],“优秀团队 五险一金 补充医疗”,内容社区 / A轮 / 50-150人
9,测试工程师,5k-10k,在线教育 Linux 功能测试 性能测试 自动化测试,扇贝,[南京·玄武区],“团队棒、个人成长快”,"在线教育,工具类产品,内容社区 / B轮 / 150-500人"
10,测试工程师,10k-20k,安全测试 可靠性测试,电子五所,[广州·增城],“工业和信息化部直属单位”,专业服务｜咨询 / 不需要融资 / 2000人以上
11,测试工程师,6k-12k,医疗健康,eDoctor,[上海·天山路],“补充医疗保险 五险一金 餐费津贴”,在线医疗 / 不需要融资 / 150-500人
12,测试工程师,10k-18k,智能硬件 功能测试 自动化测试,Vibe,[杭州·余杭区],“外企氛围，人才密度高，成长空间大”,"智能硬件,软件服务｜咨询 / A轮 / 50-150人"
13,测试工程师,10k-15k,社交平台 音频｜视频媒体 MySQL Linux Jmeter 黑盒测试 Web测试,乐维互娱,[杭州·西湖区],“六险一金 双休 弹性工作 不打卡”,"社交,软件开发 / A轮 / 50-150人"
14,测试实习生（QA）,5k-10k,电商平台 汽车交易平台 功能测试 黑盒测试,诺互汽车,[上海·普陀区],“周末双休，地铁口”,服务业 / 未融资 / 500-2000人
15,测试工程师,10k-15k,科技金融 JAVA Python Shell 性能测试 自动化测试,联龙博通,[成都·锦江区],“五险一金 节日福利 年度体检 生日礼物 餐补”,科技金融 / 不需要融资 / 2000人以上
16,测试工程师,7k-11k,新媒体 文化传媒 功能测试 性能测试 兼容性测试 安全测试,海看股份,[济南·历下区],“国企准上市公司，发展前景好”,新媒体 / A轮 / 150-500人
17,测试工程师,8k-10k,Cadence Altium PADS orCAD Protel PCB/PCBA,深圳华秋电子有限公司,[郴州·苏仙区],“包住宿，有餐补”,"电商平台,内容资讯 / C轮 / 500-2000人"
18,测试工程师,12k-18k,在线教育 功能测试 性能测试 Jmeter SQL Server 自动化测试,天音,[杭州·古荡],“行业前景好 朝九晚六 周末双休 奖金 年终奖”,IT技术服务｜咨询 / 不需要融资 / 150-500人
19,测试工程师,7k-11k,安全测试 功能测试 黑盒测试 白盒测试,弘连网络,[上海·七宝],“弹性工作，内部培训，技术挑战，优秀团队”,数据服务｜咨询 / A轮 / 150-500人
20,测试工程师,8k-15k,HTML CSS 功能测试 Web测试,步康（上海）软件有限公司,[上海·黄浦区],"“知名项目,电子商务,多元化”",IT技术服务｜咨询 / 未融资 / 50-150人
21,测试工程师,10k-20k,科技金融 IT技术服务｜咨询 Python MySQL ORACLE 自动化测试,汇合,[深圳·西丽],“互联网金融 大平台 自动化测试 项目多样”,科技金融 / 不需要融资 / 2000人以上
22,测试工程师,13k-16k,旅游｜出行 生活服务 功能测试 性能测试 自动化测试,诺互汽车,[上海·普陀区],“周末双休 地铁出站口”,服务业 / 未融资 / 500-2000人
23,测试工程师,12k-16k,科技金融 金融业 Python C++ C#,同和科技,[深圳·新洲],“五险一金，免费早午餐”,"移动互联网,金融 / 不需要融资 / 500-2000人"
24,QA测试工程师,12k-20k,人工智能服务 功能测试,WYZE,[北京·西二旗],“IOT行业 发展前景好 扁平化管理”,"人工智能服务,智能硬件,制造业 / B轮 / 50-150人"
25,测试工程师,10k-15k,IT技术服务｜咨询 软件服务｜咨询 Linux 功能测试 Jira Jmeter,中通服,[深圳·科技园],“七险一金，周末双休”,IT技术服务｜咨询 / 不需要融资 / 50-150人
