,job,money,skill,ink,area,jobDes,inkDes
0,web前端开发工程师,13k-20k,区块链 JavaScript Angular Android,Pundi-Pundi,[深圳·南山区],“奖金福利、出国机会、高薪、Mac办公”,科技金融 / 不需要融资 / 50-150人
1,高级web前端开发工程师,25k-40k,软件服务｜咨询 C++ Windows Mac OS X react,EC,[深圳·科技园],“发展前景好，团队实力强，带薪年假，六险一金”,"软件服务｜咨询,IT技术服务｜咨询 / D轮及以上 / 150-500人"
2,web前端开发工程师,8k-13k,软件服务｜咨询 智能硬件 HTML CSS,GARMIN佳明,[成都·高新区],“带薪年假，周末双休，六险一金，定期体检”,智能硬件 / 上市公司 / 2000人以上
3,web前端开发工程师,9k-15k,软件服务｜咨询 IT技术服务｜咨询 JavaScript Html5,NSOC大数据智能、可视化,[上海·浦东新…],“氛围好、大牛云集、上升空间大”,"数据服务｜咨询,人工智能服务 / A轮 / 50-150人"
4,web前端开发工程师,10k-20k,IT技术服务｜咨询 信息安全 Vue,中软国际科技服务有限公司,[武汉·汉阳区],“团队年轻化、年度体检”,IT技术服务｜咨询 / 上市公司 / 2000人以上
5,web前端开发工程师,8k-13k,软件服务｜咨询 IT技术服务｜咨询,NSOC大数据智能、可视化,[上海·浦东新…],“发展前景好、上升空间大、氛围好、弹性工作”,"数据服务｜咨询,人工智能服务 / A轮 / 50-150人"
6,web前端开发工程师,10k-20k,软件服务｜咨询 IT技术服务｜咨询,电子五所,[广州·增城],“工业和信息化部直属事业单位”,专业服务｜咨询 / 不需要融资 / 2000人以上
7,web前端开发工程师,8k-15k,JavaScript Html5,同方泰德,[西安·未央区],“弹性上下班时间 办公环境好 交通便利”,"电商,数据服务 / 上市公司 / 500-2000人"
8,web前端开发工程师,10k-18k,智能硬件,Vibe,[杭州·余杭区],“外企氛围，人才密度高，成长空间大”,"智能硬件,软件服务｜咨询 / A轮 / 50-150人"
9,web前端开发工程师,8k-15k,智能硬件,同方泰德,[西安·未央区],“五险一金 补充医疗 各种补贴 弹性上下班”,"电商,数据服务 / 上市公司 / 500-2000人"
10,web前端开发工程师,8k-16k,软件服务｜咨询 IT技术服务｜咨询 JavaScript HTML ES6 前端架构,康德软件开发,[杭州·西溪],“五险一金”,软件服务｜咨询 / 不需要融资 / 50-150人
