,job,money,skill,ink,area,jobDes,inkDes
0,移动开发工程师,8k-16k,医疗｜保健｜美容 Android iOS,杭州美齐科技,[杭州·西湖区],“朝阳行业 发展空间大 团队氛围好 福利待遇好”,医疗｜保健｜美容 / C轮 / 50-150人
1,Unity3D移动开发/实习生,6k-11k,游戏 移动端 Android COCOS2D-X,中科深圳骁腾科技,[深圳·南山区],"“周末双休,年底双薪,下午茶,弹性工作”","游戏,IT技术服务｜咨询 / 未融资 / 15-50人"
2,iOS移动开发实习生,6k-10k,音频｜视频媒体 短视频 Swift 移动客户端开发,Disney+Hotstar,[北京·五道口],“签字现金，入职股票，年假充裕，外企风格”,软件服务｜咨询 / 上市公司 / 50-150人
3,移动开发实习生,3k-5k,软件服务｜咨询 移动客户端开发,启明软件,[上海·万源城],“专人带教”,"移动互联网,企业服务 / 不需要融资 / 500-2000人"
4,移动开发工程师（Android/IOS）,5k-10k,生活服务 JAVA Kotlin 移动端,中国民航信息网络股份有限公司重庆分公司,[重庆·渝北区],“五险二金、带薪年假、工会福利、教育培训”,生活服务 / 上市公司 / 500-2000人
5,移动开发经理,30k-40k,电商平台 批发｜零售 PHP Vue Linux 移动客户端开发 SQL Server,一手,[广州·西关],“技术团队70+、阿里背景技术leader”,电商平台 / C轮 / 500-2000人
6,移动开发工程师,13k-18k,IT技术服务｜咨询 JAVA,NCS,[成都·高新区],“出国工作机会 跨国同事合作 团队氛围好”,"IT技术服务｜咨询,数据服务｜咨询 / 不需要融资 / 500-2000人"
7,高级移动开发工程师,20k-30k,人工智能服务 IT技术服务｜咨询 JAVA,商汤科技,[上海·桃浦],“五险一金、餐补、弹性工作、上市公司”,"人工智能服务,IT技术服务｜咨询 / 上市公司 / 2000人以上"
8,高级移动开发工程师-flutter,15k-25k,物联网 JAVA 移动前端开发,九拾,[杭州·西兴],“双休 高薪”,IT技术服务｜咨询 / 不需要融资 / 15-50人
9,移动开发工程师,13k-20k,人工智能服务 移动服务端开发 iOS Android,阿科伯特机器人,[深圳·南山区],“朝阳行业 产品落地 高速发展中”,人工智能服务 / A轮 / 50-150人
10,移动开发工程师,11k-15k,物流｜运输 CSS Android iOS JavaScript HTML,东航,[西安·高新技…],“央企稳定，五险一金”,服务业 / 上市公司 / 2000人以上
11,移动开发-Android开发工程师,15k-30k,IT技术服务｜咨询 软件服务｜咨询 TCP/IP 车载终端,赢胜数科,[深圳·西乡],“五险一金一档 节日礼品300 大小周”,IT技术服务｜咨询 / 上市公司 / 150-500人
12,移动开发工程师,20k-40k,科技金融 金融业 iOS Android,某知名企业,[上海·松江区],“知名公司 待遇丰厚”,
13,资深移动开发技术负责人,50k-70k,电商平台 Objective-C Flutter iOS Swift,Cettire,[北京·朝阳区],“公司发展快速，薪酬待遇优厚，参与全球项目”,电商 / 上市公司 / 50-150人
