,job,money,skill,ink,area,jobDes,inkDes
0,运维工程师（数据库方向）,9k-15k,SQL SQL Server ORACLE MySQL SQLServer DBA DB2,嘉扬,[上海·浦东新…],“SQL、eHR”,移动互联网 / 不需要融资 / 150-500人
1,运维开发工程师,15k-25k,金融业 Python,中国人寿财险金融科技中心,[上海·浦东新…],“金融央企、六险二金、工会福利、专业通道”,金融业 / 上市公司 / 2000人以上
2,应用运维岗,7k-11k,金融业 C++ Python,北京瑞友,[上海·曹路],“五险一金 做五休二”,人工智能服务 / 上市公司 / 2000人以上
3,运维工程师,12k-16k,金融业 MySQL linux,京北方,[广州·东圃],“项目长期稳定”,IT技术服务｜咨询 / 上市公司 / 2000人以上
4,游戏运维工程师,7k-12k,Python Shell Linux Unix TCP/IP,广州趣炫,[广州·天河北],“六险一金 包餐 带薪年假 生日礼物”,游戏 / 不需要融资 / 500-2000人
5,初级运维工程师,5k-10k,软件服务｜咨询 Kubernetes(K8s),英雄互娱,[成都·武侯区],“五险一金 年终奖 双休”,游戏 / 上市公司 / 500-2000人
6,linux运维工程师,7k-14k,游戏 电商平台 Python Shell,中电博亚,[杭州·西溪],“五险一金 扁平管理 弹性工作 年终奖金”,游戏 / A轮 / 50-150人
7,运维工程师,8k-15k,游戏 电商平台 Python Shell Linux,中电博亚,[杭州·西溪],“五险一金 扁平管理 弹性工作 年终奖金”,游戏 / A轮 / 50-150人
8,运维工程师/技术支持工程师,6k-12k,,中科软,[佛山·南海区],“五险一金、年假、餐补、集体旅游”,IT技术服务｜咨询 / 上市公司 / 2000人以上
9,运维工程师,12k-18k,人工智能服务 物联网 Windows Linux,睿云联,[福州·闽侯县],“公司前景好，成长快，福利好”,智能硬件 / 不需要融资 / 150-500人
10,运维值班工程师,6k-10k,电商平台 Tomcat Windows Linux 监控,招赢电子商务,[上海·陆家嘴],“生日假、节日福利、年终奖、高低温补贴”,电商平台 / 不需要融资 / 150-500人
11,运维工程师 (MJ001188),10k-18k,数据服务｜咨询 软件服务｜咨询 Linux TCP/IP,袋鼠云,[西安·雁塔区],“发展前景好，准独角兽”,"数据服务｜咨询,人工智能服务 / C轮 / 500-2000人"
12,运维工程师,10k-20k,IT技术服务｜咨询 金融业 Linux TCP/IP Kubernetes(K8s),京北方,[上海·曹路],“饭贴+季度奖金、节日礼品，团建等”,IT技术服务｜咨询 / 上市公司 / 2000人以上
13,运维工程师 (MJ008263),10k-15k,人工智能服务 Python TCP/IP,搜狐集团,[北京·海淀区],“优秀团队，大厂氛围”,"内容资讯,游戏,音频｜视频媒体 / 上市公司 / 2000人以上"
14,机房运维经理,10k-20k,数据服务｜咨询 IT技术服务｜咨询 Python Shell Windows Linux 沟通谈判,,[西安·雁塔区],“具备IT、互联网项目的相关经验”,专业服务｜咨询 / 上市公司 / 2000人以上
15,运维,20k-40k,数据服务｜咨询 信息安全 Kubernetes(K8s) Swam Docker,拉勾集团,[杭州·拱墅区],“外企 独角兽”,"工具类产品,在线教育 / D轮及以上 / 500-2000人"
16,运维,13k-26k,IT技术服务｜咨询 Linux,软通动力,[深圳·龙岗区],“发展好”,IT技术服务｜咨询 / 不需要融资 / 2000人以上
17,运维,12k-16k,科技金融 SQL Server ORACLE SQL,简浪科技,[上海·浦东新…],“双休、五险一金”,IT技术服务｜咨询 / 未融资 / 50-150人
18,Java运维经理,10k-16k,软件服务｜咨询 工具类产品 Spring Hibernate MyBatis Windows,华资软件,[广州·棠下],“六险一金，福利好，大平台，大项目”,"软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 500-2000人"
19,elastic search高级运维工程师,35k-45k,软件服务｜咨询 Kubernetes(K8s),微创软件,[苏州·娄葑],“全员持股，WLB”,IT技术服务｜咨询 / 不需要融资 / 2000人以上
20,运维集成工程师 (合肥),10k-15k,网络通信 Linux Swam Docker Zabbix,北京天源迪科网络科技有限公司,[合肥·蜀山区],“福利丰富”,"IT技术服务｜咨询,网络通信 / 不需要融资 / 500-2000人"
